player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Precious Achiuwa,C,24,TOR,11,0,19,2.9,6.4,0.457,0.5,1.7,0.263,2.5,4.6,0.529,0.493,0.9,1.5,0.588,1.8,4.3,6.1,2.3,0.5,0.5,1.4,1.6,7.2
Bam Adebayo,C,26,MIA,14,14,34.4,8.3,15.5,0.535,0.1,0.2,0.333,8.2,15.3,0.537,0.537,6.1,7.4,0.825,2.2,8.1,10.4,3.9,1.4,1,2.6,2.5,22.7
Ochai Agbaji,SG,23,UTA,16,6,18.9,1.9,4.4,0.429,1,2.7,0.372,0.9,1.7,0.519,0.543,0.2,0.3,0.6,0.9,1.8,2.6,1,0.5,0.8,0.7,1.5,4.9
Santi Aldama,PF,23,MEM,10,4,26.5,5.8,13,0.446,2,6,0.333,3.8,7,0.543,0.523,1,1.7,0.588,1.2,4.7,5.9,2,0.5,0.6,1.3,1.7,14.6
Nickeil Alexander-Walker,SG,25,MIN,16,5,22.2,2.3,5.6,0.416,1.3,3.8,0.35,1,1.8,0.552,0.534,0.2,0.6,0.333,0.3,1.7,2,2.6,0.8,0.8,0.8,1.9,6.1
Grayson Allen,SG,28,PHO,16,16,32.5,4.1,8.4,0.489,2.4,5,0.475,1.8,3.4,0.509,0.63,1.3,1.6,0.84,0.8,3.7,4.5,2.9,0.6,0.4,1.6,2.4,11.9
Jarrett Allen,C,25,CLE,12,12,28.3,5.3,8,0.667,0,0,0,5.3,8,0.667,0.667,3.1,4.1,0.755,3,4.7,7.7,2.3,0.6,1.3,1.9,2.6,13.8
Jose Alvarado,PG,25,NOP,4,0,18,3,7.8,0.387,1.5,4.3,0.353,1.5,3.5,0.429,0.484,0.5,1.5,0.333,0.5,2,2.5,2.3,1.5,0.3,1,1.5,8
Kyle Anderson,PF,30,MIN,16,0,24.5,2.9,5.4,0.54,0.1,0.7,0.182,2.8,4.8,0.592,0.552,1.3,2.1,0.606,0.7,3.1,3.8,4,0.9,0.9,1.6,1.5,7.3
Giannis Antetokounmpo,PF,29,MIL,16,16,33.6,11.4,19.3,0.594,0.4,1.9,0.226,11,17.3,0.635,0.606,6.6,10.4,0.633,2.7,7.9,10.6,4.6,1.2,1.2,4.1,3.1,29.9
Thanasis Antetokounmpo,PF,31,MIL,7,0,6.3,0.4,1.1,0.375,0,0,0,0.4,1.1,0.375,0.375,0,0,0,0.3,0.3,0.6,0.6,0.1,0.1,0.6,1,0.9
Cole Anthony,PG,23,ORL,17,0,25.9,4.7,10.9,0.43,1.4,3.9,0.358,3.3,7,0.471,0.495,4.2,4.9,0.845,1.1,3.5,4.6,3.7,0.8,0.4,2.2,2.8,15
OG Anunoby,SF,26,TOR,13,13,31.7,5.8,11.9,0.484,2.6,6.4,0.41,3.2,5.5,0.569,0.594,1.3,2.2,0.607,1.1,3.2,4.2,2.2,1.1,0.7,1.8,2.1,15.5
Ryan Arcidiacono,PG,29,NYK,5,0,2.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0
Deni Avdija,SF,23,WAS,16,16,27,4.7,9.2,0.51,1.1,2.8,0.4,3.6,6.4,0.559,0.571,1.3,1.6,0.808,1.4,4.1,5.4,3.4,0.9,0.3,1.5,2.4,11.8
Deandre Ayton,C,25,POR,15,15,31.5,6,10.3,0.584,0,0,0,6,10.3,0.584,0.584,0.7,1,0.733,3.3,7.6,10.9,1.6,1.4,0.9,1.9,2.7,12.7
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0,0,0,0,2,2,0,0,0,0,0.5,1
Marvin Bagley III,C,24,DET,16,6,19.3,4.3,7.3,0.586,0.1,0.3,0.2,4.2,6.9,0.604,0.591,2.4,2.6,0.905,1.9,3.3,5.2,1.4,0.1,0.7,1.3,1.7,10.9
Amari Bailey,PG,19,CHO,1,0,3,1,3,0.333,0,0,0,1,3,0.333,0.333,0,0,0,2,0,2,0,0,0,0,0,2
Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,0
LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,0.443,3.5,8.9,0.388,5.3,10.9,0.488,0.53,3.6,4.2,0.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
Mo Bamba,C,25,PHI,6,0,3,0.5,1,0.5,0,0.2,0,0.5,0.8,0.6,0.5,0.8,0.8,1,0.5,0.8,1.3,0,0.2,0.3,0.5,0.5,1.8
Paolo Banchero,PF,21,ORL,17,17,33.5,7.2,14.7,0.488,1.4,3.2,0.436,5.8,11.5,0.503,0.536,4.1,6.2,0.651,1.3,5.2,6.5,4.6,1.2,0.6,3.2,2.3,19.8
Desmond Bane,SG,25,MEM,16,16,34.1,8.5,19.3,0.442,3.3,9.1,0.359,5.3,10.2,0.515,0.526,3.4,3.9,0.871,0.9,3.5,4.4,5,1.3,0.6,2.7,3.1,23.6
Dalano Banton,PG,24,BOS,7,1,7.9,1.3,2.7,0.474,0,0.6,0,1.3,2.1,0.6,0.474,0.7,0.7,1,0.9,1.4,2.3,0.4,0.3,0,0.3,1.3,3.3
Dominick Barlow,PF,20,SAS,6,0,5.3,0.3,1,0.333,0,0,0,0.3,1,0.333,0.333,0.3,0.7,0.5,0,0.8,0.8,0,0.2,0,0,0.3,1
Harrison Barnes,PF,31,SAC,15,15,31.5,4.1,8.8,0.47,1.9,5.1,0.377,2.2,3.7,0.6,0.58,2.4,2.9,0.837,0.7,2.3,3.1,1.5,0.8,0.1,0.9,1.1,12.6
Scottie Barnes,SG,22,TOR,17,17,34.4,7.1,15.3,0.465,1.9,5,0.376,5.2,10.3,0.509,0.527,2.9,3.8,0.754,2.6,6.5,9.1,5.6,1.6,1.3,2.5,1.9,19
RJ Barrett,SG,23,NYK,11,11,30.1,6.7,15.1,0.446,2.3,5.1,0.446,4.5,10,0.445,0.521,3.7,4.5,0.837,0.5,3.4,3.9,2.5,0.5,0.3,2.1,1.6,19.5
Charles Bassey,C,23,SAS,17,0,10.7,1.5,2.1,0.694,0,0.1,0,1.5,2.1,0.714,0.694,0.3,0.4,0.833,1.2,2.5,3.8,1.1,0.5,0.7,0.8,1.4,3.2
Emoni Bates,SF,20,CLE,7,0,7.4,0.6,2.1,0.267,0.4,1.7,0.25,0.1,0.4,0.333,0.367,0.1,0.3,0.5,0.1,1.1,1.3,0.3,0.1,0.1,0.1,0.3,1.7
Keita Bates-Diop,SF,28,PHO,14,6,20.4,2.1,5.1,0.403,0.6,2.1,0.276,1.5,3.1,0.488,0.458,1.1,1.6,0.682,1.1,2.5,3.6,1,0.8,1,0.2,1.4,5.8
Nicolas Batum,PF,35,TOT,11,5,24.1,2,3.6,0.55,1.5,3.2,0.486,0.5,0.5,1,0.763,0.3,0.4,0.75,0.8,2.8,3.6,1.5,0.5,1,0.5,2.1,5.8
Nicolas Batum,PF,35,LAC,3,0,18,1,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1,0.5,0,0,0,0,2.3,2.3,1.7,1,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,8,5,26.4,2.4,4,0.594,1.9,3.5,0.536,0.5,0.5,1,0.828,0.4,0.5,0.75,1.1,3,4.1,1.5,0.4,0.9,0.6,2.3,7
Bradley Beal,SG,30,PHO,3,3,28.7,6,15.3,0.391,1.7,5,0.333,4.3,10.3,0.419,0.446,3.7,5.3,0.688,1,4.3,5.3,3.7,0.7,0.3,3,3,17.3
Malik Beasley,SG,27,MIL,17,17,27.4,3.9,8,0.485,2.6,5.8,0.455,1.2,2.2,0.568,0.651,0.5,0.7,0.667,0.6,3.6,4.3,1.4,1,0.1,0.8,2.1,10.9
MarJon Beauchamp,SF,23,MIL,13,0,16.2,2.2,4.6,0.467,0.9,2.2,0.414,1.2,2.4,0.516,0.567,0.6,0.9,0.667,0.7,1.6,2.3,1,0.3,0.2,0.6,1.7,5.8
Dāvis Bertāns,PF,31,OKC,5,0,9.2,0.6,2.6,0.231,0.6,2.4,0.25,0,0.2,0,0.346,1.6,1.8,0.889,0,0.8,0.8,0.8,0.2,0.2,0,1,3.4
Patrick Beverley,PG,35,PHI,16,0,16.3,0.9,2.8,0.341,0.2,1.4,0.136,0.8,1.4,0.545,0.375,0.3,0.4,0.571,0.9,2,2.9,1.9,0.4,0.4,0.6,2,2.3
Saddiq Bey,SF,24,ATL,16,4,28.3,4.4,9.1,0.49,1.6,4.4,0.352,2.9,4.6,0.622,0.576,1.5,1.9,0.774,1.9,3.9,5.9,1.2,1,0.2,1.3,1.4,11.9
Goga Bitadze,C,24,ORL,15,12,19.7,2.7,4.7,0.577,0,0.2,0,2.7,4.5,0.603,0.577,1.6,2.3,0.706,2.2,3.9,6.1,1.7,0.9,1.5,0.6,2.5,7.1
Onuralp Bitim,SG,24,CHI,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bismack Biyombo,C,31,MEM,11,10,25.9,2.9,4.9,0.593,0,0,0,2.9,4.9,0.593,0.593,1.6,2.7,0.6,3.2,4.2,7.4,1.9,0.5,1,0.7,2.9,7.5
Anthony Black,PG,20,ORL,15,11,18.3,1.7,3.9,0.448,0.3,1.4,0.238,1.4,2.5,0.568,0.491,0.8,1.2,0.667,0.7,1.4,2.1,1.3,0.3,0.3,1.1,2.1,4.6
Leaky Black,SF,24,CHO,3,0,4,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1,0.333,0.5,0,0,0,0,0.7,0.7,0.3,0,0.7,0,0.3,1.7
Bogdan Bogdanović,SG,31,ATL,16,1,26.1,5.8,12.3,0.467,3.1,8,0.391,2.6,4.3,0.609,0.594,1.2,1.3,0.905,0.4,2.6,3,2.5,1.4,0.4,1.4,2.4,15.8
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1,0,0,0,0.3,0.3,1,1,0,0,0,0,0.3,0.3,0,0,0.3,0.7,0,0.7
Marques Bolden,C,25,MIL,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0
Devin Booker,SG,27,PHO,9,9,34,9.9,19.9,0.497,2.2,5.1,0.435,7.7,14.8,0.519,0.553,7.4,8.1,0.918,1.1,4.3,5.4,8.9,0.8,0.6,3.1,3,29.4
Chris Boucher,PF,31,TOR,15,0,15.6,2.1,4.6,0.449,0.7,1.7,0.4,1.4,2.9,0.477,0.522,1.9,2.3,0.829,1.4,3.1,4.5,0.4,0.3,0.6,0.5,2.1,6.7
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,0.238,0,1.3,0,0.8,2.2,0.385,0.238,0,0,0,0.3,1.3,1.7,1.3,0,0,1.3,0.5,1.7
Malaki Branham,SG,20,SAS,17,6,20.8,3.5,8.4,0.42,0.9,3.4,0.281,2.6,5.1,0.512,0.476,0.5,0.5,0.889,0.2,1,1.2,2.2,0.5,0.1,0.9,1.4,8.5
Christian Braun,SG,22,DEN,17,0,21.6,3.5,7.5,0.472,0.7,1.7,0.414,2.8,5.8,0.49,0.52,1.5,2.1,0.714,0.9,3.5,4.5,1.9,0.4,0.2,0.6,1.6,9.2
Mikal Bridges,SF,27,BRK,16,16,34.6,7.9,16.8,0.474,2.1,6.1,0.347,5.8,10.6,0.547,0.537,3.8,4.4,0.857,1.3,4.6,5.9,3.9,1.1,0.4,2.4,1.7,21.8
Miles Bridges,SF,25,CHO,5,3,36.8,7.4,14.6,0.507,1.8,4.8,0.375,5.6,9.8,0.571,0.568,4.6,5.6,0.821,1,7.8,8.8,2.8,1.4,0.4,2,1.6,21.2
Oshae Brissett,SF,25,BOS,8,0,11.3,0.4,2.1,0.176,0.1,1.1,0.111,0.3,1,0.25,0.206,0.9,1.5,0.583,1,1.6,2.6,0.4,0.5,0,0.3,1.1,1.8
Malcolm Brogdon,PG,31,POR,11,6,27.7,6.5,15.8,0.408,2.1,5.7,0.365,4.4,10.1,0.432,0.474,2.7,3.5,0.789,1.1,3.5,4.6,6.3,0.8,0.1,1.5,1.5,17.7
Armoni Brooks,PG,25,BRK,5,0,9,1.2,3.4,0.353,1,2.6,0.385,0.2,0.8,0.25,0.5,0,0,0,0.4,1.6,2,0,0,0,0.2,0.2,3.4
Dillon Brooks,SF,28,HOU,14,14,31.2,4.7,10,0.471,1.9,4,0.464,2.9,6,0.476,0.564,2.1,2.5,0.857,0.7,3.1,3.8,1.9,1.1,0.1,1.7,3.9,13.4
Bruce Brown,SG,27,IND,15,15,31.4,4.3,9.3,0.46,1.3,3.7,0.357,2.9,5.5,0.53,0.532,1.6,1.9,0.857,0.5,3.7,4.2,2.8,1.2,0.3,1.1,2.4,11.5
Jaylen Brown,SF,27,BOS,16,16,34.4,8.1,18.1,0.446,2.4,7.1,0.342,5.6,10.9,0.514,0.514,2.8,3.9,0.714,0.4,4.4,4.8,3.4,1.1,0.5,2.4,2.9,21.4
Kobe Brown,PF,24,LAC,7,0,8.1,1,2.3,0.438,0.4,1.3,0.333,0.6,1,0.571,0.531,0,0,0,0.4,1.1,1.6,0.3,0.1,0.1,0.1,1.1,2.4
Moses Brown,C,24,POR,3,0,4.7,1,1.7,0.6,0,0,0,1,1.7,0.6,0.6,0,0.7,0,1.3,0.3,1.7,0.3,0.3,0.3,0,0.3,2
Troy Brown Jr.,SF,24,MIN,12,0,10.4,0.8,2.6,0.323,0.3,1.6,0.211,0.5,1,0.5,0.387,1.1,1.2,0.929,0.8,1.9,2.8,0.6,0.3,0.1,0.3,0.5,3.1
Jalen Brunson,PG,27,NYK,16,16,35.3,8.9,19.3,0.461,3.2,6.8,0.472,5.7,12.5,0.455,0.544,3.9,4.8,0.829,0.6,2.9,3.6,5.1,0.9,0.1,2,2.1,24.9
Thomas Bryant,C,26,MIA,12,3,13.5,2.2,4.4,0.491,0,0.3,0,2.2,4.2,0.52,0.491,1,1.3,0.8,1,2.8,3.8,0.6,0.5,0.3,1,1.3,5.3
Kobe Bufkin,SG,20,ATL,2,0,2,0,1.5,0,0,0.5,0,0,1,0,0,0.5,1,0.5,0.5,0.5,1,0,0,0,0,0,0.5
