player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Eugene Omoruyi,SF,26,WAS,19,0,5.8,1.7,2.9,0.582,0.3,0.9,0.294,1.4,2,0.711,0.627,0.8,1.1,0.762,0.6,0.9,1.5,0.6,0.5,0.1,0.5,1.1,4.5
Cedi Osman,SF,28,SAS,44,1,17.8,2.7,5.6,0.48,1.2,3.1,0.372,1.5,2.5,0.613,0.583,0.7,1,0.667,0.4,2.2,2.6,1.8,0.5,0.1,0.6,1.5,7.3
Kelly Oubre Jr.,SF,28,PHI,30,19,27.2,4.7,10.1,0.467,1.6,4.5,0.363,3.1,5.6,0.55,0.548,1.6,2.3,0.71,0.9,3.3,4.2,1,1.2,0.4,0.9,2.7,12.7
Chris Paul,PG,38,GSW,32,11,27.6,3.3,7.7,0.424,1.3,3.7,0.361,1.9,3.9,0.484,0.512,1.1,1.3,0.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9
Cameron Payne,PG,29,MIL,40,2,15.3,2.3,4.8,0.469,1.1,2.9,0.395,1.1,2,0.577,0.586,0.9,1,0.895,0.1,1.1,1.2,2.3,0.4,0.1,0.7,1.6,6.5
Gary Payton II,SG,31,GSW,16,0,16.3,2.3,4.9,0.456,0.6,2,0.281,1.7,2.9,0.574,0.513,0.4,0.6,0.667,1,2,3,0.8,1.1,0.3,0.6,1.8,5.4
Drew Peterson,PF,24,BOS,1,0,3,1,1,1,1,1,1,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,1,3
Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1
Filip Petrušev,C,23,PHI,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5,1.5
Julian Phillips,SF,20,CHI,22,0,4.5,0.4,1.1,0.333,0,0.5,0.083,0.3,0.5,0.583,0.354,0,0.2,0.25,0.1,0.4,0.5,0.3,0,0.1,0.1,0.5,0.8
Jalen Pickett,SG,24,DEN,15,0,6,0.7,1.7,0.44,0.5,1.2,0.389,0.3,0.5,0.571,0.58,0.1,0.1,1,0.1,0.7,0.7,0.7,0.2,0,0.4,0.5,2.1
Scotty Pippen Jr.,PG,23,MEM,2,0,14.5,3,4.5,0.667,0.5,0.5,1,2.5,4,0.625,0.722,2.5,2.5,1,0.5,3,3.5,3.5,0,0,1.5,0.5,9
Mason Plumlee,C,33,LAC,12,3,16,2,2.9,0.686,0,0,0,2,2.9,0.686,0.686,1.7,2.8,0.588,1,3.6,4.6,1.2,0.4,0.3,0.5,1.3,5.7
Brandin Podziemski,SG,20,GSW,35,10,24.4,3.7,7.9,0.46,1.3,3.3,0.388,2.4,4.6,0.512,0.541,0.6,1,0.611,1.5,3.9,5.4,3.2,0.9,0.1,1.3,1.9,9.2
Jakob Poeltl,C,28,TOR,36,36,26.5,4.7,6.9,0.685,0,0,0,4.7,6.9,0.685,0.685,1.2,2.2,0.532,2.8,5.6,8.3,2.5,0.7,1.4,1.6,2.9,10.6
Aleksej Pokusevski,PF,22,OKC,8,0,6,0.4,1.6,0.231,0.1,1.1,0.111,0.3,0.5,0.5,0.269,0.1,0.3,0.5,0.3,0.9,1.1,0.6,0,0.1,0.4,0.6,1
Jordan Poole,SG,24,WAS,42,42,29.1,5.9,14.4,0.409,1.9,6.3,0.307,4,8.1,0.488,0.476,2.8,3.2,0.872,0.4,1.9,2.3,3.5,1,0.3,2.3,3.1,16.5
Craig Porter Jr.,PG,23,CLE,29,5,15.9,2.9,5.7,0.512,0.2,0.7,0.333,2.7,4.9,0.538,0.534,1.1,1.6,0.696,0.5,2.2,2.7,3.1,0.6,0.4,1.1,1,7.1
Jontay Porter,PF,24,TOR,11,5,15.6,1.7,5,0.345,0.7,2.6,0.276,1,2.4,0.423,0.418,0.7,0.7,1,1.1,2.3,3.4,2.2,0.7,1,0.7,1.9,4.9
Michael Porter Jr.,SF,25,DEN,45,45,31.4,6.2,12.8,0.481,2.8,6.9,0.401,3.4,6,0.572,0.588,1,1.3,0.767,1.2,5.8,7,1.4,0.5,0.8,1,2,16.1
Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.9,2.2,0.424,0.5,1.5,0.348,0.4,0.7,0.6,0.545,0.2,0.2,1,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6
Bobby Portis,PF,28,MIL,44,0,23.4,5,9.8,0.503,1,2.8,0.363,3.9,7,0.56,0.555,1.3,1.7,0.784,1.5,5.1,6.7,1,0.7,0.5,0.9,2.4,12.3
Kristaps Porziņģis,C,28,BOS,32,32,30,6.5,12.3,0.525,1.8,5.1,0.35,4.7,7.2,0.649,0.598,4.8,5.8,0.837,1.7,5.2,6.8,2,0.7,1.9,1.6,2.9,19.5
Micah Potter,PF,25,UTA,2,0,3.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Dwight Powell,C,32,DAL,39,8,16,1.6,2.2,0.709,0,0.1,0.5,1.5,2.2,0.714,0.715,1.4,1.9,0.753,1.8,2.1,3.9,1.7,0.6,0.4,0.5,2.2,4.6
Norman Powell,SG,30,LAC,42,0,25.5,4.7,9.4,0.5,2,4.5,0.453,2.7,4.9,0.544,0.609,2,2.3,0.875,0.1,2.3,2.5,1,0.5,0.4,0.9,1.8,13.5
Joshua Primo,SG,21,LAC,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,0,0,0,0,0,0,1,3,0,2
Taurean Prince,PF,29,LAL,42,42,30.7,3.5,8.2,0.425,2.1,5.5,0.385,1.4,2.7,0.504,0.553,0.7,0.9,0.744,0.3,2.6,2.8,1.8,0.9,0.5,0.9,2.2,9.8
Payton Pritchard,PG,26,BOS,44,0,21.2,2.8,6.7,0.42,1.7,4.5,0.378,1.1,2.2,0.505,0.546,0.5,0.7,0.774,1,2.3,3.3,3,0.5,0.1,0.6,1.3,7.8
Olivier-Maxence Prosper,PF,21,DAL,24,0,9.1,0.9,2.6,0.349,0.3,1.3,0.258,0.6,1.3,0.438,0.413,0.8,1.1,0.704,0.6,1.5,2.2,0.8,0.1,0.1,0.2,0.7,3
Trevelin Queen,SG,26,ORL,10,0,14.9,1.4,3.4,0.412,0.3,1.4,0.214,1.1,2,0.55,0.456,0.9,1.2,0.75,0.3,1.5,1.8,1.7,0.7,0.5,0.7,1.4,4
Neemias Queta,C,24,BOS,16,0,12.9,1.9,3.4,0.556,0,0,0,1.9,3.4,0.556,0.556,0.9,1.1,0.778,2,2.6,4.6,0.4,0.4,0.4,0.4,2.3,4.6
Immanuel Quickley,SG-PG,24,TOT,42,12,26.2,5.2,11.9,0.44,2.3,5.6,0.41,2.9,6.3,0.466,0.536,2.8,3.2,0.866,0.2,2.9,3.1,3.5,0.6,0.1,1.1,1.6,15.5
Immanuel Quickley,SG,24,NYK,30,0,24,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1,1.5,15
Immanuel Quickley,PG,24,TOR,12,12,31.8,5.6,13.6,0.411,2.7,6,0.444,2.9,7.6,0.385,0.509,2.8,3.3,0.85,0.3,4.3,4.6,6.1,0.8,0.2,1.4,2,16.7
Lester Quinones,SG,23,GSW,9,0,6.3,1,2.6,0.391,0.6,1.4,0.385,0.4,1.1,0.4,0.5,0.1,0.2,0.5,0.4,0.9,1.3,0.6,0.1,0.1,0.6,0.7,2.7
Julius Randle,PF,29,NYK,44,44,35.6,8.7,18.3,0.473,1.6,5.3,0.306,7,13,0.542,0.518,5.2,6.7,0.777,2.1,7.1,9.3,5,0.5,0.3,3.5,2.8,24.2
Duop Reath,C,27,POR,32,11,18.3,3.5,7.3,0.481,1.4,3.7,0.378,2.1,3.6,0.586,0.577,1.1,1.4,0.795,1.5,2.6,4.1,1.3,0.5,0.5,0.8,2.4,9.6
Austin Reaves,SG,25,LAL,45,20,30.2,5.2,10.7,0.487,1.6,4.5,0.345,3.7,6.2,0.589,0.559,2.9,3.3,0.873,0.8,3.3,4.1,5.1,0.9,0.1,2.1,1.8,14.9
Cam Reddish,SF,24,LAL,35,26,23.3,2.4,5.9,0.405,0.9,2.7,0.337,1.5,3.1,0.464,0.483,1,1.3,0.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7
Paul Reed,C,24,PHI,42,8,15.3,2.4,4.4,0.548,0.1,0.5,0.316,2.3,4,0.575,0.565,0.6,0.9,0.722,1.9,2.8,4.7,1.1,0.6,0.7,0.8,2.2,5.6
Naz Reid,C,24,MIN,44,0,22.4,4.8,9.5,0.499,2,4.8,0.41,2.8,4.8,0.589,0.601,1.1,1.4,0.794,1,3.6,4.6,1,0.8,0.7,1.3,2,12.6
Jared Rhoden,SG,24,DET,5,0,6,1,1.8,0.556,0.2,0.8,0.25,0.8,1,0.8,0.611,0.4,0.4,1,0.2,0.6,0.8,0.6,0,0,0.4,0.8,2.6
Nick Richards,C,26,CHO,33,20,24.4,3.6,5.3,0.676,0,0,0,3.6,5.3,0.676,0.676,1.8,2.4,0.763,2.5,5.2,7.7,0.8,0.4,1.2,0.9,2.7,9.1
Josh Richardson,SG,30,MIA,35,5,26,3.4,7.9,0.432,1.5,4.3,0.342,2,3.7,0.535,0.523,1.3,1.4,0.938,0.4,2.3,2.7,2.5,0.5,0.4,1,1.8,9.6
Duncan Robinson,SF,29,MIA,42,17,28.3,4.7,10.4,0.455,2.8,6.9,0.407,1.9,3.5,0.552,0.591,1.3,1.5,0.875,0.3,2.4,2.6,2.9,0.6,0.2,1.4,2.2,13.6
Jerome Robinson,SG,26,GSW,7,0,3.7,0,1.3,0,0,0.7,0,0,0.6,0,0,0.6,0.9,0.667,0.1,0.3,0.4,0.3,0,0.1,0,0.1,0.6
Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,0.592,0,0,0,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2
Orlando Robinson,C,23,MIA,18,7,12.3,1.7,3.3,0.525,0.4,0.7,0.583,1.3,2.6,0.511,0.585,0.6,0.9,0.688,1,2.3,3.3,1.5,0.3,0.4,0.7,1.6,4.4
Jeremiah Robinson-Earl,PF,23,NOP,17,1,11.5,1.6,3,0.529,0.5,1.1,0.421,1.1,1.9,0.594,0.608,0.4,0.4,1,0.6,2,2.6,0.5,0.4,0.2,0.5,0.8,4
David Roddy,PF,22,MEM,41,10,22.7,3.1,7.6,0.408,1,3.1,0.318,2.1,4.4,0.473,0.474,0.9,1.2,0.714,1,2.8,3.9,1.4,0.5,0.2,1,1.4,8
Ryan Rollins,PG,21,WAS,10,0,6.6,1.3,2.5,0.52,0.2,0.3,0.667,1.1,2.2,0.5,0.56,1.3,1.7,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1
Derrick Rose,PG,35,MEM,17,7,17.9,3.3,7.5,0.438,0.6,1.9,0.333,2.6,5.6,0.474,0.48,1.1,1.2,0.905,0.4,1.4,1.8,3.4,0.4,0.1,1.3,1.1,8.4
Terry Rozier,SG-PG,29,TOT,31,30,35.3,8.2,18.1,0.455,2.7,7.6,0.354,5.5,10.4,0.529,0.53,3.6,4.2,0.847,0.6,3.3,3.9,6.5,1.1,0.4,2.2,1.7,22.7
Terry Rozier,SG,29,CHO,30,30,35.5,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2
Terry Rozier,PG,29,MIA,1,0,29,3,11,0.273,1,5,0.2,2,6,0.333,0.318,2,2,1,2,2,4,5,2,0,3,2,9
Rayan Rupert,SG,19,POR,14,0,7.5,1,2.9,0.35,0.4,1.1,0.375,0.6,1.7,0.333,0.425,0.4,0.6,0.625,0.4,0.9,1.4,0.7,0.1,0,0.4,0.4,2.8
D'Angelo Russell,PG,27,LAL,41,34,29.9,6.2,13,0.479,2.4,5.8,0.412,3.9,7.2,0.534,0.571,1.7,2.1,0.784,0.4,2.4,2.7,6.2,0.8,0.5,2,2,16.6
Matt Ryan,SF,26,NOP,13,1,22.9,2.9,6.4,0.458,2.5,5.2,0.471,0.5,1.2,0.4,0.651,1,1.1,0.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3
Domantas Sabonis,C,27,SAC,42,42,35.3,8,13.1,0.61,0.5,1.1,0.404,7.5,12,0.629,0.627,3.5,5.2,0.677,3.2,9.6,12.8,7.9,0.8,0.5,3.3,3.2,20
Luka Šamanić,PF,24,UTA,20,0,6.3,1.1,2.8,0.375,0.3,1.1,0.238,0.8,1.8,0.457,0.42,0.6,0.7,0.846,0.4,1.6,1.9,0.2,0.1,0.1,0.5,0.7,2.9
Jermaine Samuels,SF,25,HOU,6,0,6.3,0.8,1.2,0.714,0,0.3,0,0.8,0.8,1,0.714,0.3,0.3,1,0.2,1.2,1.3,0.3,0.2,0.2,0,0.5,2
Adama Sanogo,PF,21,CHI,3,0,3.7,1,1,1,0,0,0,1,1,1,1,0.7,1,0.667,0.7,1.3,2,0,0,0,0.3,0,2.7
Gui Santos,PF,21,GSW,6,0,5.8,0.7,1.8,0.364,0.2,1,0.167,0.5,0.8,0.6,0.409,1,1,1,0.8,1.2,2,0.3,0,0,0.3,0.5,2.5
Dario Šarić,C,29,GSW,41,8,20.8,3.6,7.5,0.484,1.5,3.8,0.401,2.1,3.7,0.57,0.586,1.7,2,0.85,1.4,4.2,5.6,2.4,0.6,0.2,1.2,2.2,10.5
Olivier Sarr,C,24,OKC,9,0,7.6,0.7,1.2,0.545,0.2,0.6,0.4,0.4,0.7,0.667,0.636,0.7,0.9,0.75,0.7,2.2,2.9,0.2,0,0.6,0.2,1.6,2.2
Marcus Sasser,PG,23,DET,40,0,15.5,2.7,5.8,0.468,1,2.6,0.392,1.7,3.2,0.527,0.554,0.7,0.8,0.906,0.2,1.4,1.6,2.6,0.6,0.2,0.9,1.3,7.1
Admiral Schofield,PF,26,ORL,12,0,3.8,0.4,1.3,0.333,0.2,0.8,0.222,0.3,0.5,0.5,0.4,0,0.2,0,0.1,0.5,0.6,0.3,0,0,0.3,0.6,1
Dennis Schröder,PG,30,TOR,44,31,31,5,11.1,0.451,1.6,4.4,0.359,3.4,6.7,0.51,0.522,2.3,2.7,0.858,0.4,2.2,2.6,6.3,0.8,0.1,1.5,2.1,13.9
Dereon Seabron,SG,23,NOP,5,0,10.4,0.8,2.6,0.308,0.2,0.4,0.5,0.6,2.2,0.273,0.346,1,1.2,0.833,0.2,1.2,1.4,0.8,0.4,0.2,0,0.8,2.8
Alperen Şengün,C,21,HOU,43,43,32.8,8.7,16.2,0.541,0.6,2,0.287,8.2,14.1,0.577,0.559,4.1,5.6,0.723,2.7,6.5,9.2,5.1,1.2,0.7,2.6,3.3,22.1
Brice Sensabaugh,SF,20,UTA,4,0,3,0.5,1.5,0.333,0.3,0.5,0.5,0.3,1,0.25,0.417,0,0,0,0.3,0.5,0.8,0.5,0,0,0,0.3,1.3
Collin Sexton,SG,25,UTA,45,22,24.2,6,12.2,0.492,1.5,3.9,0.379,4.5,8.2,0.546,0.553,4.1,4.6,0.885,0.9,1.8,2.6,4.1,0.7,0.2,1.8,2.1,17.5
Landry Shamet,SG,26,WAS,27,0,15.4,2.9,6.2,0.47,1.4,3.4,0.398,1.6,2.8,0.56,0.58,1,1.3,0.771,0.2,1,1.2,1.4,0.6,0.3,0.6,1.8,8.2
Day'Ron Sharpe,C,22,BRK,37,1,16,3,5.2,0.575,0,0.2,0.143,3,5,0.591,0.578,1.5,2.4,0.614,2.8,4.2,7,1.4,0.5,0.9,1,2.3,7.5
Shaedon Sharpe,SG,20,POR,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9
Ben Sheppard,SG,22,IND,22,0,9.3,1,2.7,0.383,0.5,1.7,0.316,0.5,1,0.5,0.483,0.4,0.5,0.75,0.3,0.7,1,0.8,0.5,0,0,1.1,3
Pascal Siakam,PF,29,TOT,42,42,34.5,8.3,15.9,0.52,1.1,3.6,0.318,7.1,12.3,0.579,0.556,4.2,5.5,0.751,1.4,5,6.3,4.9,0.8,0.2,2.1,2.4,21.8
Pascal Siakam,PF,29,TOR,39,39,34.7,8.3,16,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2
Pascal Siakam,PF,29,IND,3,3,32.3,7.3,14.7,0.5,0.7,2,0.333,6.7,12.7,0.526,0.523,2,3.3,0.6,1.3,5.3,6.7,4.7,0.3,0,1.7,4,17.3
Ben Simmons,PG,27,BRK,6,6,31.8,3.2,6,0.528,0,0,0,3.2,6,0.528,0.528,0.2,0.7,0.25,2.7,8.2,10.8,6.7,0.5,0.8,2.5,2.7,6.5
Anfernee Simons,SG,24,POR,22,22,33.2,7.9,18.1,0.434,3.3,8.5,0.39,4.5,9.6,0.472,0.525,3.9,4.4,0.896,0.5,3,3.5,4.8,0.5,0.1,2.5,2,23
Jericho Sims,C,25,NYK,20,6,7.3,0.7,1,0.684,0,0,0,0.7,1,0.684,0.684,0.2,0.3,0.6,0.4,1.1,1.5,0.3,0.1,0.3,0.2,0.8,1.5
Dmytro Skapintsev,C,25,NYK,2,0,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Slawson,SF,24,SAC,5,0,3.8,0.4,0.6,0.667,0,0.2,0,0.4,0.4,1,0.667,0,0,0,0,0.8,0.8,0.4,0,0.2,0.4,0.6,0.8
Javonte Smart,PG,24,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Smart,PG,29,MEM,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
Dennis Smith Jr.,PG,26,BRK,28,1,20,3,6.8,0.435,0.6,2,0.286,2.4,4.8,0.496,0.476,0.9,1.1,0.813,0.9,2.4,3.4,4.1,1.2,0.3,1.3,2.5,7.4
Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3
Ish Smith,PG,35,CHO,35,2,16.4,1.7,3.6,0.472,0.1,0.2,0.333,1.6,3.4,0.479,0.48,0.1,0.1,0.75,0.3,1.4,1.7,3.1,0.3,0.1,1.2,0.9,3.5
Jabari Smith Jr.,PF,20,HOU,40,40,31.7,5,10.6,0.474,1.7,4.5,0.382,3.3,6.2,0.541,0.554,1.9,2.4,0.809,2,6.8,8.7,1.5,0.6,0.8,1.2,2.9,13.7
Jalen Smith,C,23,IND,30,12,17.8,3.9,6.2,0.631,1.1,2.3,0.5,2.8,4,0.706,0.722,1.4,1.9,0.719,1.5,4,5.5,1.1,0.2,0.5,0.9,2.3,10.4
Nick Smith Jr.,SG,19,CHO,27,0,15.1,2.5,5.9,0.424,1.3,2.9,0.462,1.1,3,0.388,0.538,0.1,0.1,0.75,0.5,1.1,1.6,1.1,0.1,0.3,0.9,1.1,6.4
Terquavion Smith,PG,21,PHI,3,0,1,0.7,1,0.667,0.7,0.7,1,0,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Jeremy Sochan,PF,20,SAS,44,43,29.4,4.3,10,0.434,1,2.8,0.372,3.3,7.3,0.458,0.485,1.6,2,0.784,1.6,4,5.7,4,0.7,0.4,1.9,2.5,11.3
Jaden Springer,SG,21,PHI,24,0,9.9,1.1,3.2,0.351,0.2,1,0.2,0.9,2.2,0.423,0.383,0.5,0.8,0.722,0.8,0.6,1.4,0.9,0.5,0.4,0.8,1.4,3
Lamar Stevens,PF,26,BOS,16,1,6.4,0.9,2.1,0.441,0.1,0.4,0.286,0.8,1.7,0.481,0.471,0.4,0.5,0.75,0.5,0.9,1.4,0.4,0.4,0.3,0.4,0.8,2.4
Isaiah Stewart,PF,22,DET,33,32,30.7,4.1,8.6,0.47,1.5,3.8,0.384,2.6,4.8,0.538,0.554,1.5,2,0.738,1.8,5.2,7,1.8,0.4,0.8,1.6,2.5,11
Julian Strawther,SF,21,DEN,33,0,13.9,2.2,5.6,0.384,1.1,3.5,0.322,1,2.1,0.486,0.484,0.5,0.7,0.696,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.9
Max Strus,SF,27,CLE,42,42,33,4.6,11.5,0.405,2.5,7.5,0.338,2.1,3.9,0.537,0.517,1,1.3,0.811,0.7,4.1,4.9,3.8,0.9,0.5,1.6,2.7,12.9
Jalen Suggs,SG,22,ORL,40,40,26.7,4.6,10.1,0.455,2,5.2,0.391,2.6,4.9,0.523,0.556,1.7,2.2,0.773,0.7,2.6,3.4,2.4,1.3,0.7,2,2.9,12.9
Cole Swider,SF,24,MIA,8,0,4.8,1.1,2.4,0.474,0.6,1.8,0.357,0.5,0.6,0.8,0.605,0,0,0,0.1,0.1,0.3,0.4,0.1,0.1,0.4,0.1,2.9
Jae'Sean Tate,SF,28,HOU,40,9,18.6,1.9,3.9,0.477,0.5,1.5,0.295,1.4,2.4,0.596,0.535,0.5,0.7,0.714,1.1,2.4,3.5,1.1,0.7,0.2,0.4,2.5,4.7
Jayson Tatum,PF,25,BOS,41,41,36,9.1,19.4,0.469,3,8.3,0.361,6.1,11,0.55,0.546,5.9,7.2,0.808,0.9,7.5,8.4,4.4,1,0.5,2.5,2.1,27
Terry Taylor,PF,24,CHI,16,0,6.8,0.8,1.4,0.591,0,0.3,0,0.8,1.1,0.765,0.591,0.1,0.1,1,0.8,0.5,1.3,0.3,0.2,0.1,0.4,0.8,1.7
Garrett Temple,SG,37,TOR,11,0,4.1,0.5,1.2,0.462,0.2,0.5,0.4,0.4,0.7,0.5,0.538,0.4,0.4,1,0.3,0.5,0.7,0.5,0.2,0,0.2,0.3,1.6
Dalen Terry,SG,21,CHI,29,1,10.1,0.7,2,0.356,0.2,1.2,0.2,0.5,0.8,0.583,0.415,0.5,0.7,0.75,0.3,1.3,1.7,1.2,0.2,0.3,0.6,1.2,2.2
Daniel Theis,C,31,TOT,32,1,16.9,2.6,5,0.516,0.4,1,0.406,2.2,4,0.543,0.557,0.9,1.2,0.737,1.6,2,3.6,0.9,0.5,0.9,0.7,2.3,6.4
Daniel Theis,C,31,IND,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,0,0,0,0,0,0,0,0,1,2
Daniel Theis,C,31,LAC,31,1,17.2,2.6,5,0.523,0.4,1,0.419,2.2,4,0.548,0.565,0.9,1.2,0.737,1.6,2,3.7,0.9,0.5,0.9,0.7,2.4,6.5
Cam Thomas,SG,22,BRK,34,20,28.4,7.5,17.1,0.439,1.9,5.4,0.346,5.6,11.6,0.482,0.494,3.5,4.3,0.81,0.2,2.2,2.5,2.4,0.5,0.3,1.6,1.9,20.4
Amen Thompson,SF,21,HOU,24,1,16.3,2.4,5.3,0.46,0.2,1.3,0.133,2.3,4,0.563,0.476,1.3,1.8,0.682,1,3.1,4.1,2,0.9,0.3,1.1,1.9,6.3
Ausar Thompson,SF,21,DET,44,24,23.8,3.4,7.3,0.467,0.3,1.6,0.153,3.2,5.7,0.558,0.485,1.2,1.9,0.634,2.1,4.6,6.7,2,0.9,0.9,1.3,3,8.3
Klay Thompson,SF,33,GSW,40,40,30.5,6.1,14.3,0.425,3.4,8.7,0.389,2.7,5.6,0.48,0.543,1.9,2.1,0.906,0.6,2.9,3.5,2.4,0.5,0.5,1.7,1.9,17.5
Tristan Thompson,PF,32,CLE,36,0,12.4,1.7,2.6,0.649,0,0,0,1.7,2.6,0.656,0.649,0.4,1.2,0.31,1.6,2.3,3.9,1.1,0.2,0.3,0.6,1.4,3.8
JT Thor,PF,21,CHO,35,1,14.8,1.3,3.6,0.362,0.5,1.6,0.316,0.8,2,0.4,0.433,0.1,0.3,0.444,1.1,1.7,2.8,0.4,0.2,0.5,0.3,1.1,3.3
Matisse Thybulle,SF,26,POR,42,14,22.5,2,4.6,0.426,1.4,3.7,0.377,0.6,1,0.61,0.574,0.3,0.4,0.813,0.4,1.6,2,1.1,1.6,0.8,0.5,1.3,5.6
Xavier Tillman Sr.,C,25,MEM,31,12,20.5,2.6,6.3,0.41,0.4,1.6,0.235,2.2,4.6,0.472,0.441,0.5,1.1,0.4,1.6,3.1,4.7,1.7,1.2,1,0.9,1.7,6
Jacob Toppin,SF,23,NYK,3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0
Obi Toppin,PF,25,IND,44,28,23.2,4.4,7.5,0.582,1.3,3.2,0.408,3,4.3,0.713,0.67,1.1,1.4,0.77,1,2.9,3.9,1.5,0.5,0.5,0.7,2.1,11.1
Juan Toscano-Anderson,SF,30,SAC,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0,0,0,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1,0.6
Karl-Anthony Towns,PF,28,MIN,43,43,33.1,8,15.7,0.513,2.2,5.1,0.436,5.8,10.6,0.55,0.584,4.3,4.9,0.886,1.5,7.3,8.8,3,0.7,0.5,2.8,3.4,22.6
Gary Trent Jr.,SG,25,TOR,39,9,25.8,4.3,10,0.425,2.3,5.5,0.417,1.9,4.5,0.434,0.54,0.7,1.1,0.651,0.3,1.9,2.1,1.6,0.8,0.1,0.6,1.2,11.5
Oscar Tshiebwe,PF,24,IND,6,0,5.7,1.3,2.7,0.5,0,0,0,1.3,2.7,0.5,0.5,0.8,1,0.833,1,1,2,0.3,0.3,0,0,0.2,3.5
P.J. Tucker,PF,38,TOT,15,3,15.9,0.4,1.3,0.316,0.3,1.1,0.313,0.1,0.2,0.333,0.447,0.2,0.2,1,1.1,1.8,2.9,0.5,0.6,0.2,0.3,2.3,1.3
P.J. Tucker,PF,38,PHI,3,3,22,0.7,1.7,0.4,0.7,1.7,0.4,0,0,0,0.6,0,0,0,0.3,4.3,4.7,0,1,0.7,0.7,3,2
P.J. Tucker,PF,38,LAC,12,0,14.4,0.3,1.2,0.286,0.3,0.9,0.273,0.1,0.3,0.333,0.393,0.3,0.3,1,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2
Myles Turner,C,27,IND,43,43,27.7,6.3,12,0.525,1.4,4.1,0.337,4.9,7.9,0.622,0.583,3.5,4.4,0.803,1.7,5.4,7.1,1.3,0.5,1.9,1.5,3.1,17.4
Hunter Tyson,PF,23,DEN,8,0,2.5,0.1,0.5,0.25,0,0.4,0,0.1,0.1,1,0.25,0,0,0,0,0.6,0.6,0.1,0,0,0,0.6,0.3
Stanley Umude,SG,24,DET,15,0,10.3,1.3,2.9,0.455,0.9,1.8,0.519,0.4,1.1,0.353,0.614,1.4,1.5,0.913,0.2,1.7,1.9,0.5,0.3,0.3,0.7,1.6,5
